PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINCODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
0420-MSO-00001,13/09/2017,315,0420-MSO-00001,315,M312277,90009,6312277900094,BH,1
0420-MSO-00001,13/09/2017,316,0420-MSO-00001,316,M312278,90009,6312278900093,BH,1
0420-MSO-00001,13/09/2017,317,0420-MSO-00001,317,M312350,90003,6312350900034,BH,1
0420-MSO-00001,13/09/2017,318,0420-MSO-00001,318,M312358,90002,6312358900029,BH,1
0420-MSO-00001,13/09/2017,319,0420-MSO-00001,319,M312360,90002,6312360900024,BH,1
0420-MSO-00001,13/09/2017,320,0420-MSO-00001,320,M312362,90002,6312362900022,BH,1
0420-MSO-00001,13/09/2017,321,0420-MSO-00001,321,M312363,90002,6312363900021,BH,1
0420-MSO-00001,13/09/2017,322,0420-MSO-00001,322,M312486,90001,6312486900014,B,1
0420-MSO-00001,13/09/2017,323,0420-MSO-00001,323,M321767,90011,6321767900117,B,1
0420-MSO-00001,13/09/2017,324,0420-MSO-00001,324,M321768,90011,6321768900116,B,1
0420-MSO-00001,13/09/2017,325,0420-MSO-00001,325,M321769,90011,6321769900115,B,1
0420-MSO-00001,13/09/2017,326,0420-MSO-00001,326,M430301,90007,6430301900077,BH,1
0420-MSO-00001,13/09/2017,327,0420-MSO-00001,327,M430302,90007,6430302900076,BH,1
0420-MSO-00001,13/09/2017,328,0420-MSO-00001,328,M430303,90007,6430303900075,BH,1
0420-MSO-00001,13/09/2017,329,0420-MSO-00001,329,M430304,90007,6430304900074,BH,1
0420-MSO-00001,13/09/2017,330,0420-MSO-00001,330,M430305,90007,6430305900073,BH,1
0420-MSO-00001,13/09/2017,331,0420-MSO-00001,331,M430306,90007,6430306900072,BH,1
0420-MSO-00001,13/09/2017,332,0420-MSO-00001,332,M430327,90007,6430327900075,BH,1
0420-MSO-00001,13/09/2017,333,0420-MSO-00001,333,M430328,90007,6430328900074,BH,0
0420-MSO-00001,13/09/2017,334,0420-MSO-00001,334,M430329,90007,6430329900073,BH,1
0420-MSO-00001,13/09/2017,335,0420-MSO-00001,335,M430376,90007,6430376900071,BH,1
0420-MSO-00001,13/09/2017,336,0420-MSO-00001,336,M430518,90007,6430518900075,BH,1
0420-MSO-00001,13/09/2017,337,0420-MSO-00001,337,M490207,90001,6490207900014,B,1
0420-MSO-00001,13/09/2017,338,0420-MSO-00001,338,M490208,90001,6490208900013,B,1
0420-MSO-00001,13/09/2017,339,0420-MSO-00001,339,M550054,90007,6550054900077,BH,1
0420-MSO-00001,13/09/2017,340,0420-MSO-00001,340,M684474,90001,6684474900017,B,1
0420-MSO-00001,13/09/2017,341,0420-MSO-00001,341,M684475,90001,6684475900016,B,1
0420-MSO-00001,13/09/2017,342,0420-MSO-00001,342,M684529,90001,6684529900016,B,1
0420-MSO-00001,13/09/2017,343,0420-MSO-00001,343,M684530,90001,6684530900012,B,1
0420-MSO-00001,13/09/2017,344,0420-MSO-00001,344,M684533,90001,6684533900019,B,1
0420-MSO-00001,13/09/2017,345,0420-MSO-00001,345,M684534,90001,6684534900018,B,1
0420-MSO-00001,13/09/2017,346,0420-MSO-00001,346,M684535,90001,6684535900017,B,1
0420-MSO-00001,13/09/2017,347,0420-MSO-00001,347,M684536,90001,6684536900016,B,1
0420-MSO-00001,13/09/2017,348,0420-MSO-00001,348,M684537,90001,6684537900015,B,1
0420-MSO-00001,13/09/2017,349,0420-MSO-00001,349,M684538,90001,6684538900014,B,1
0420-MSO-00001,13/09/2017,350,0420-MSO-00001,350,M684544,90001,6684544900015,B,1
0420-MSO-00001,13/09/2017,351,0420-MSO-00001,351,M684545,90001,6684545900014,B,1
0420-MSO-00001,13/09/2017,352,0420-MSO-00001,352,M684546,90001,6684546900013,B,1
0420-MSO-00001,13/09/2017,353,0420-MSO-00001,353,M684547,90001,6684547900012,B,1
0420-MSO-00001,13/09/2017,354,0420-MSO-00001,354,M684548,90001,6684548900011,B,1
0420-MSO-00001,13/09/2017,355,0420-MSO-00001,355,M684562,90001,6684562900011,B,1
0420-MSO-00001,13/09/2017,356,0420-MSO-00001,356,M693960,90001,6693960900011,B,1
0420-MSO-00001,13/09/2017,357,0420-MSO-00001,357,M693963,90001,6693963900018,B,1
0420-MSO-00001,13/09/2017,358,0420-MSO-00001,358,M693969,90001,6693969900012,B,1
0420-MSO-00001,13/09/2017,359,0420-MSO-00001,359,M693988,90001,6693988900017,B,1
0420-MSO-00001,13/09/2017,360,0420-MSO-00001,360,M693997,90001,6693997900015,B,1
0420-MSO-00001,13/09/2017,361,0420-MSO-00001,361,M694004,90001,6694004900011,B,1
0420-MSO-00001,13/09/2017,362,0420-MSO-00001,362,M694027,90001,6694027900012,B,1
0420-MSO-00001,13/09/2017,363,0420-MSO-00001,363,M694028,90001,6694028900011,B,1
0420-MSO-00001,13/09/2017,364,0420-MSO-00001,364,M694029,90001,6694029900010,B,1
0420-MSO-00001,13/09/2017,365,0420-MSO-00001,365,M694034,90001,6694034900012,B,1
0420-MSO-00001,13/09/2017,366,0420-MSO-00001,366,M694042,90001,6694042900011,B,1
