PAGRNNO,PAGRNDATE,PAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAGRNQTY
MAT.0000000001,30/08/2017,26,0420-MPO-9393,AMFU8882995,26,F363024,6,3363024000065,s,38
MAT.0000000001,30/08/2017,27,0420-MPO-9393,AMFU8882995,27,F363024,7,3363024000072,s,38
MAT.0000000001,30/08/2017,28,0420-MPO-9393,AMFU8882995,28,F363024,8,3363024000089,s,38
MAT.0000000001,30/08/2017,29,0420-MPO-9393,AMFU8882995,29,F363024,9,3363024000096,s,38
MAT.0000000001,30/08/2017,30,0420-MPO-9393,AMFU8882995,30,F363024,10,3363024000102,s,38
MAT.0000000001,30/08/2017,31,0420-MPO-9393,AMFU8882995,31,F363024,11,3363024000119,s,38
MAT.0000000001,30/08/2017,32,0420-MPO-9393,AMFU8882995,32,F363024,14,3363024000140,s,38
MAT.0000000001,30/08/2017,33,0420-MPO-9393,AMFU8882995,33,F363024,15,3363024000157,s,38
MAT.0000000001,30/08/2017,34,0420-MPO-9393,AMFU8882995,34,F363024,17,3363024000171,s,38
MAT.0000000001,30/08/2017,35,0420-MPO-9393,AMFU8882995,35,F363025,1,3363025000019,s,38
MAT.0000000001,30/08/2017,36,0420-MPO-9393,AMFU8882995,36,F363025,2,3363025000026,s,38
MAT.0000000001,30/08/2017,37,0420-MPO-9393,AMFU8882995,37,F363025,3,3363025000033,s,38
MAT.0000000001,30/08/2017,38,0420-MPO-9393,AMFU8882995,38,F363025,4,3363025000040,s,38
MAT.0000000001,30/08/2017,39,0420-MPO-9393,AMFU8882995,39,F363025,18,3363025000187,s,38
MAT.0000000001,30/08/2017,40,0420-MPO-9393,AMFU8882995,40,F363025,5,3363025000057,s,38
MAT.0000000001,30/08/2017,41,0420-MPO-9393,AMFU8882995,41,F363028,5,3363028000054,S,38
MAT.0000000001,30/08/2017,42,0420-MPO-9393,AMFU8882995,42,F363028,6,3363028000061,S,38
MAT.0000000001,30/08/2017,43,0420-MPO-9393,AMFU8882995,43,F363028,7,3363028000078,S,38
MAT.0000000001,30/08/2017,44,0420-MPO-9393,AMFU8882995,44,F363028,8,3363028000085,S,38
MAT.0000000001,30/08/2017,45,0420-MPO-9393,AMFU8882995,45,F363028,9,3363028000092,S,38
MAT.0000000001,30/08/2017,46,0420-MPO-9393,AMFU8882995,46,F363028,10,3363028000108,S,38
MAT.0000000001,30/08/2017,47,0420-MPO-9393,AMFU8882995,47,F363032,3,3363032000033,S,38
MAT.0000000001,30/08/2017,48,0420-MPO-9393,AMFU8882995,48,F363032,4,3363032000040,S,38
MAT.0000000001,30/08/2017,49,0420-MPO-9393,AMFU8882995,49,F363032,14,3363032000149,S,38
MAT.0000000001,30/08/2017,50,0420-MPO-9393,AMFU8882995,50,F363032,7,3363032000071,S,38
MAT.0000000001,30/08/2017,51,0420-MPO-9393,AMFU8882995,51,F363032,8,3363032000088,S,38
MAT.0000000001,30/08/2017,52,0420-MPO-9393,AMFU8882995,52,F363032,9,3363032000095,S,38
MAT.0000000001,30/08/2017,53,0420-MPO-9393,AMFU8882995,53,F363032,10,3363032000101,S,38
MAT.0000000001,30/08/2017,54,0420-MPO-9393,AMFU8882995,54,F363032,11,3363032000118,S,38
MAT.0000000001,30/08/2017,55,0420-MPO-9393,AMFU8882995,55,F363032,12,3363032000125,S,38
MAT.0000000001,30/08/2017,56,0420-MPO-9393,AMFU8882995,56,F363047,90017,3363047900175,BH,24
MAT.0000000001,30/08/2017,57,0420-MPO-9393,AMFU8882995,57,F363061,90015,3363061900151,BH,25
MAT.0000000001,30/08/2017,58,0420-MPO-9393,AMFU8882995,58,F363527,90001,3363527900015,S,16
MAT.0000000001,30/08/2017,59,0420-MPO-9393,AMFU8882995,59,F364252,90006,3364252900066,BH,4
MAT.0000000001,30/08/2017,60,0420-MPO-9393,AMFU8882995,60,F364293,90006,3364293900063,BH,6
MAT.0000000001,30/08/2017,61,0420-MPO-9393,AMFU8882995,61,F364393,90001,3364393900017,BH,2
MAT.0000000001,30/08/2017,62,0420-MPO-9393,AMFU8882995,62,F364517,90003,3364517900039,BH,13
