ItemNo,LocationCode,ClsQuantity,SoldQuantity,UnitCost,UnitPrice,SeasonCode,DivisionCode,ItemCategoryCode,ItemProductGroup,ItemFamilyCode,GroupeFamille,LineCode7,OfferPrice,ProductGroupDesc
298247,4728,28.00000000000000000000,10.00000000000000000000,1.00250000000000000000,3.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298248,4728,59.00000000000000000000,5.00000000000000000000,2.19570000000000000000,9.00000000000000000000,81,2,21,2140,2186,2180,,0.00000000000000000000,Women's Lingerie
298249,4728,75.00000000000000000000,6.00000000000000000000,1.04915000000000000000,4.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298256,4728,16.00000000000000000000,32.00000000000000000000,1.87357000000000000000,3.50000000000000000000,84,1,16,1603,1500,1500,,0.00000000000000000000,READY-TO-WEAR Men
298257,4728,28.00000000000000000000,19.00000000000000000000,1.87414000000000000000,3.50000000000000000000,83,1,16,1603,1500,1500,,0.00000000000000000000,READY-TO-WEAR Men
298258,4728,12.00000000000000000000,36.00000000000000000000,1.86556000000000000000,3.50000000000000000000,81,1,16,1603,1500,1500,,1.75000000000000000000,READY-TO-WEAR Men
298259,4728,9.00000000000000000000,35.00000000000000000000,1.86750000000000000000,3.50000000000000000000,83,1,16,1603,1500,1500,,0.00000000000000000000,READY-TO-WEAR Men
298261,4728,1.00000000000000000000,50.00000000000000000000,1.86000000000000000000,3.50000000000000000000,84,1,16,1603,1500,1500,,0.00000000000000000000,READY-TO-WEAR Men
298264,4728,14.00000000000000000000,34.00000000000000000000,3.16333000000000000000,6.75000000000000000000,81,1,16,1603,1501,1500,,3.25000000000000000000,READY-TO-WEAR Men
298265,4728,5.00000000000000000000,46.00000000000000000000,3.17071000000000000000,6.75000000000000000000,83,1,16,1603,1550,1550,,0.00000000000000000000,READY-TO-WEAR Men
298266,4728,3.00000000000000000000,45.00000000000000000000,3.17286000000000000000,6.75000000000000000000,83,1,16,1603,1550,1550,,0.00000000000000000000,READY-TO-WEAR Men
298267,4728,0.00000000000000000000,25.00000000000000000000,5.79000000000000000000,11.00000000000000000000,83,1,16,1603,1404,1400,,0.00000000000000000000,READY-TO-WEAR Men
